Return Visits,Mobile Phone,Non-Mobile Phone,MOFA Page Template,Showroom Page Template,Configuration Load,DCC,Date,Channel,Visits,Unique Visitors,Share of Non-Single Page Visits,Single Page Visits,Time Spent per Visit,Bounce Rate
1,0,1,0,0,1,0,"June 05, 2022",Direct,1147,917,0.85,167,463,0
1,0,1,0,0,1,0,"June 05, 2022",Paid Search,757,648,0.97,20,413,0
1,0,1,0,0,1,0,"June 05, 2022",Display OA,595,556,0.95,28,233,0
1,0,1,0,0,1,0,"June 05, 2022",Unknown Channel,456,439,0.98,8,122,0
1,0,1,0,0,1,0,"June 05, 2022",Social Networks,377,340,0.56,166,211,0.005555556
1,0,1,0,0,1,0,"June 05, 2022",Social Paid,84,83,0.93,6,245,0
1,0,1,0,1,0,0,"June 05, 2022",Referring Domains,24129,14599,0.89,2616,158,0.081048924
1,0,1,0,1,0,0,"June 05, 2022",Natural Search,14169,9609,0.68,4500,126,0.127881297
1,0,1,0,1,0,0,"June 05, 2022",Display OA,11005,6943,0.2,8807,182,0.603964919
1,0,1,0,1,0,0,"June 05, 2022",Unknown Channel,4763,4233,0.24,3615,111,0.302066116
1,0,1,0,1,0,0,"June 05, 2022",Paid Search,2649,2217,0.56,1160,161,0.254243979
1,0,1,0,1,0,0,"June 05, 2022",Social Paid,850,779,0.32,579,130,0.3150358
1,0,1,0,1,0,0,"June 05, 2022",Social Networks,843,707,0.34,554,133,0.349503859
1,0,1,0,1,0,0,"June 05, 2022",Direct,824,619,0.55,367,160,0.14100065
1,0,1,1,0,0,0,"June 05, 2022",Referring Domains,40344,19907,0.77,9216,18,0.029899614
1,0,1,1,0,0,0,"June 05, 2022",Natural Search,10352,6266,0.83,1794,13,0.01906585
1,0,1,1,0,0,0,"June 05, 2022",Direct,1001,625,0.56,444,12,0.022782356
1,0,1,1,0,0,0,"June 05, 2022",Paid Search,772,660,0.87,100,12,0.00265252
1,0,1,1,0,0,0,"June 05, 2022",Social Networks,449,402,0.56,197,8,0.035502959
1,0,1,1,0,0,0,"June 05, 2022",Display OA,423,314,0.84,68,10,0.003033367
1,0,1,1,0,0,0,"June 05, 2022",Unknown Channel,132,127,0.97,4,5,0
1,0,1,1,0,0,0,"June 05, 2022",Social Paid,59,59,0.95,3,5,0
