Return Visits,Mobile Phone,Non-Mobile Phone,MOFA Page Template,Showroom Page Template,Configuration Load,DCC,Date,Carline,Visits,Unique Visitors,Share of Non-Single Page Visits,Single Page Visits,Time Spent per Visit,Bounce Rate
1,1,0,0,0,1,0,"June 05, 2022",Caddy California,34,31,0.79,7,298,0
1,1,0,0,0,1,0,"June 05, 2022",Transporter 6.1 Furgon,32,23,0.91,3,378,0
1,1,0,0,0,1,0,"June 05, 2022",California,23,22,0.78,5,409,0
1,1,0,0,0,1,0,"June 05, 2022",Crafter Furgon,23,21,1,0,392,0
1,1,0,0,0,1,0,"June 05, 2022",Multivan 6.1,22,19,0.91,2,319,0
1,1,0,0,0,1,0,"June 05, 2022",Caddy Cargo,12,9,0.83,2,298,0
1,1,0,0,0,1,0,"June 05, 2022",Transporter 6.1 Kombi,11,8,0.82,2,698,0
1,1,0,0,0,1,0,"June 05, 2022",Multivan 6.1 Edition,7,7,1,0,13,0
1,1,0,0,0,1,0,"June 05, 2022",Transporter 6.1 Skrzyniowy,4,3,1,0,1481,0
1,1,0,0,0,1,0,"June 05, 2022",Crafter Skrzyniowy,4,3,0.5,2,559,0
